Item ID,Item Lookup Type ID,Name,Description,UDF01,UDF02,UDF03,UDF04,UDF05,UDF06,UDF07,UDF08,UDF09,UDF10,UDF11,UDF12,UDF13,UDF14,UDF15,UDF16,UDF17,UDF18,UDF19,UDF20
1644,1,31C-F1-0250-XXX-L,"2-1/2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1645,1,31C-F1-0250-XXX-T,"2-1/2"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
1646,1,31C-F1-0300-XXX-L,"3"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1647,1,31C-F1-0300-XXX-T,"3"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
1648,1,31C-F1-0400-XXX-L,"4"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1649,1,31C-F1-0400-XXX-T,"4"" 3-Way, ASTM A216 Grade WCB Body/End Cap, ASTM A351 Grade CF8M Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
2969,1,31C-F1-0600-XXX-L,"6"" 3-Way, L-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow Path L1 to L2",,,,,,,,,,,,,,,,,,,,
2970,1,31C-F1-0600-XXX-T,"6"" 3-Way,  T-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow PathT3 to T4",,,,,,,,,,,,,,,,,,,,
1650,1,31C-F3-0150-END,"ASTM A216 Grade WCB, 300# Flanged End for 1-1/2"" Series 31C",,,,,,,,,,,,,,,,,,,,
1651,1,31C-F3-0200-END,"ASTM A216 Grade WCB, 300# Flanged End for 2"" Series 31C",,,,,,,,,,,,,,,,,,,,
4502,1,31C-F3-0200-XXX-L,"2"" 3-Way, L-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow Path L1 to L2",,,,,,,,,,,,,,,,,,,,
3247,1,31C-F3-0200-XXX-T,*,,,,,,,,,,,,,,,,,,,,
1652,1,31C-F3-0250-END,"ASTM A216 Grade WCB, 300# Flanged End for 2-1/2"" Series 31C",,,,,,,,,,,,,,,,,,,,
1653,1,31C-F3-0300-END,"ASTM A216 Grade WCB, 300# Flanged End for 3"" Series 31C",,,,,,,,,,,,,,,,,,,,
4503,1,31C-F3-0300-XXX-L,"3"" 3-Way,  L-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow Path L1 to L2",,,,,,,,,,,,,,,,,,,,
4504,1,31C-F3-0300-XXX-T,"3"" 3-Way, T-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow PathT3 to T4",,,,,,,,,,,,,,,,,,,,
1654,1,31C-F3-0400-END,"ASTM A216 Grade WCB, 300# Flanged End for 4"" Series 31C",,,,,,,,,,,,,,,,,,,,
2971,1,31C-F3-0400-XXX-L,"4"" 3-Way,  L-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow Path L1 to L2",,,,,,,,,,,,,,,,,,,,
2972,1,31C-F3-0400-XXX-T,"4"" 3-Way, T-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow PathT3 to T4",,,,,,,,,,,,,,,,,,,,
2973,1,31C-F3-0600-END,"ASTM A216 Grade WCB, 300# Flanged End for 6"" Series 31C",,,,,,,,,,,,,,,,,,,,
2974,1,31C-F3-0600-XXX-L,"6"" 3-Way,  L-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow Path L1 to L2",,,,,,,,,,,,,,,,,,,,
2975,1,31C-F3-0600-XXX-T,"6"" 3-Way, T-Port ASTM A216 Grade WCB Body/End Cap, Cover ASTM A351 Grade CF8M Ball / Stem , Direct Mount, Full Port Ball Valve, ANSI 300# Flanged End, RTFE Seats,  PTFE Gaskets & Packing ,FKM O-Ring . Flow PathT3 to T4",,,,,,,,,,,,,,,,,,,,
1655,1,31-F1-0150-XXX-L,"1-1/2"" 3-Way, ASTM A351 Grade CF8M Body/End Cap/Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1656,1,31-F1-0150-XXX-T,"1-1/2"" 3-Way, ASTM A351 Grade CF8M Body/End Cap/Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
1657,1,31-F1-0200-XXX-L,"2"" 3-Way, ASTM A351 Grade CF8M Body/End Cap/Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
1658,1,31-F1-0200-XXX-T,"2"" 3-Way, ASTM A351 Grade CF8M Body/End Cap/Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement T",,,,,,,,,,,,,,,,,,,,
1659,1,31-F1-0250-XXX-L,"2-1/2"" 3-Way, ASTM A351 Grade CF8M Body/End Cap/Ball, ASTM A276 SS316 Stem, Direct Mount, Full Port Ball Valve, ANSI 150# Flanged End, RTFE Seats, Arrangement L",,,,,,,,,,,,,,,,,,,,
